Time,SM_COSMOS,TA,NETRAD,G,LE,H,RH,TA_dl,NETRAD_dl,G_dl,LE_dl,H_dl,RH_dl,TA_day_mean,TA_day_max,TA_day_min,RH_day,RH_day_min,NETRAD_day,G_day,LE_day,H_day,SM1,P_mm,TS_day_MAX,NDVI,LE_FC
2013-02-26,0.478333333333,2.022,46.571,-4.253,13.376,,0.92242,3.53714285714,51.8217142857,0.242,8.63883333333,-115.597,0.930842857143,3.69645833333,6.172,1.074,0.848042916667,0.55377,16.3337083333,-0.012125,-2.01534782609,-17.1679,0.42720375,1.09166666667,2.836,0.3898,19.5366355286
2013-02-27,0.4492,1.004,120.071,-5.848,1.656,,0.90516,0.942428571429,64.8878571429,-4.96785714286,4.01766666667,-9.73525,0.882121428571,1.682375,4.716,0.28,0.904629166667,0.84661,18.050375,-3.538125,-4.17281818182,-3.55275,0.423349166667,0.025,2.935,0.3906125,2.41871025982
2013-02-28,0.480625,1.065,66.001,-5.462,-0.64,7.245,0.89936,1.61985714286,78.1212857143,-3.08028571429,3.02185714286,25.3198571429,0.864245714286,1.18995833333,2.45,0.03,0.866958333333,0.81578,20.3945,-4.36633333333,1.130375,6.57741666667,0.414138333333,0.0208333333333,2.284,0.391425,-0.934767250171
2013-03-01,0.498125,-0.085,117.728,-4.765,18.833,50.971,0.8541,0.314714285714,127.468428571,-0.925,13.7364285714,55.4567142857,0.829842857143,0.376,1.142,-0.211,0.844798333333,0.8123,36.5415833333,-3.96008333333,4.602125,15.8192916667,0.408960416667,0.00416666666667,2.343,0.3922375,27.5069869101
2013-03-02,0.456214285714,-3.411,141.04,-8.118,-5.324,64.416,0.72259,-2.70157142857,116.327857143,-7.19728571429,6.87814285714,58.2302857143,0.706957142857,-1.92316666667,-0.246,-3.411,0.7564675,0.62052,31.728375,-6.86533333333,3.54741666667,21.87025,0.40589375,0.0,2.104,0.39305,-7.77609506236
2013-03-03,0.449785714286,-3.465,390.493,-9.061,28.099,163.578,0.68653,-1.55185714286,469.399428571,1.55085714286,45.9668571429,237.881285714,0.579878571429,-1.98620833333,1.925,-5.18,0.634207916667,0.4157,118.160125,-4.13741666667,15.1900833333,80.9089583333,0.400969166667,0.00416666666667,2.382,0.3938625,41.040664004
2013-03-04,0.429285714286,-0.661,366.645,-8.977,30.685,203.507,0.56443,0.888142857143,221.929,-6.10314285714,14.3534285714,110.518,0.504767142857,0.0895833333333,3.394,-3.858,0.52976375,0.44379,43.89525,-6.41295833333,4.49308333333,29.9352083333,0.397171666667,0.0,1.89,0.394675,44.8177079242
2013-03-05,0.4775,2.139,24.088,-0.567,-7.393,-17.114,0.82595,2.56885714286,34.5134285714,0.427285714286,-8.476,-18.725,0.859937142857,1.94529166667,3.499,-1.298,0.785810833333,0.54631,9.984,-2.22995833333,-2.6747,6.15122222222,0.399731666667,0.158333333333,2.361,0.3954875,-10.7980223133
2013-03-06,0.5045,-0.983,72.368,-5.076,-2.025,17.997,0.8344,-0.510571428571,75.8984285714,-4.96171428571,0.827285714286,22.5832857143,0.848324285714,-0.767541666667,-0.056,-1.383,0.871403333333,0.82991,23.174125,-5.12504166667,-1.02908333333,-1.05833333333,0.408140416667,0.0,1.946,0.3963,-2.9576620025
2013-03-07,0.509272727273,-0.423,138.552,-4.673,11.086,26.93,0.85173,0.690714285714,187.364142857,-4.55257142857,23.2144285714,53.9158571429,0.789335714286,0.0163333333333,1.875,-1.373,0.7941075,0.66794,50.8900833333,-4.82845833333,6.87420833333,10.7721666667,0.407589583333,0.0458333333333,1.826,0.3941375,16.1919214616
2013-03-08,0.552428571429,1.929,433.058,-6.466,33.773,191.096,0.67259,3.97057142857,479.797428571,8.36314285714,35.0675714286,203.998857143,0.612028571429,2.136125,7.005,-1.883,0.64165125,0.50789,118.873208333,0.228541666667,9.9295,64.2937083333,0.417324583333,0.0,2.425,0.391975,49.3279599063
2013-03-09,0.495,6.375,415.476,3.107,47.387,235.93,0.50803,9.255,378.302857143,20.3211428571,57.2742857143,186.516142857,0.433418571429,6.94745833333,13.054,0.592,0.517710416667,0.34135,96.961,7.06725,18.7706666667,40.6715416667,0.415973333333,0.0,3.932,0.3898125,69.2122120061
2013-03-10,0.476,14.125,221.46,16.551,27.488,56.309,0.446,16.2704285714,254.230142857,26.5388571429,37.7174285714,115.337285714,0.3662,15.0122916667,18.909,12.189,0.396917083333,0.26148,56.615,15.964375,27.8859583333,12.5233913043,0.40591375,0.025,6.077,0.38765,40.1482533949
2013-03-11,0.504,8.389,44.016,9.54,-6.522,,0.94887,6.70414285714,91.8315714286,7.27528571429,8.07457142857,10.01075,0.860578571429,7.19083333333,14.927,1.205,0.867779583333,0.57886,24.6659583333,5.20954166667,-2.4462173913,17.0320714286,0.408732916667,0.15,6.028,0.3854875,-9.52586250878
2013-03-12,0.4525,0.727,272.125,-3.829,42.18,179.062,0.64877,3.00085714286,437.360142857,11.9931428571,42.2812857143,232.530857143,0.568928571429,2.005875,5.794,-0.073,0.689664166667,0.46193,129.27275,-1.13366666667,12.6213333333,80.1834583333,0.409033333333,0.0,5.288,0.383325,61.6070040816
2013-03-13,0.445642857143,-3.33,188.589,-13.158,14.88,64.495,0.73144,-2.73042857143,221.101285714,-8.63771428571,11.6532857143,123.607571429,0.697981428571,-2.31183333333,0.822,-4.115,0.7231025,0.64175,50.1840416667,-10.3980416667,1.79216666667,37.9007083333,0.408110833333,0.0,4.403,0.3811625,21.7333385665
2013-03-14,0.43,0.177,466.403,-12.627,38.228,202.996,0.51301,2.29628571429,450.733142857,3.77785714286,23.7681428571,206.292857143,0.448424285714,-0.340333333333,4.855,-3.995,0.67590125,0.36808,111.291833333,-5.23404166667,8.71791666667,60.607125,0.40442375,0.0,3.48,0.379,55.8348163118
2013-03-15,0.480235294118,3.484,341.639,-0.419,46.33,154.849,0.77874,6.573,295.058285714,10.6634285714,36.682,113.187428571,0.682551428571,5.29545833333,11.299,0.197,0.74699375,0.54238,73.6741666667,2.35020833333,9.89266666667,24.0295833333,0.400790833333,0.0125,4.291,0.3768375,67.6683854694
2013-03-16,0.47,10.162,354.39,17.474,34.919,164.496,0.72778,8.61028571429,264.657285714,18.7597142857,57.7317142857,209.478285714,0.756642857143,8.230125,14.13,2.155,0.753430833333,0.68767,71.6944166667,7.882875,16.858173913,57.699,0.397987083333,0.025,5.808,0.374675,51.0017775137
2013-03-17,0.4575,-0.131,100.261,-7.016,,,0.78849,0.541571428571,120.361714286,-4.12157142857,270.953,71.4813333333,0.77462,0.9485,2.135,-0.265,0.786220416667,0.72681,35.3975416667,-5.52841666667,81.98,22.6315,0.3998075,0.0833333333333,4.898,0.3725125,
2013-03-18,0.513222222222,3.382,73.121,-0.598,,,0.98672,4.711,78.8502857143,3.65014285714,-6.341,14.56,0.971165714286,3.32941666667,5.915,1.195,0.935444583333,0.88656,19.5783333333,-3.26908333333,-3.33231578947,-5.68272727273,0.434588333333,0.933333333333,3.977,0.37035,
2013-03-19,0.45535,-0.78,533.205,-13.15,34.921,386.977,0.53456,1.08342857143,558.562857143,6.426,53.329,357.593,0.451512857143,0.611416666667,4.785,-3.67,0.550917916667,0.3211,143.282458333,-3.85954166667,15.0935833333,115.652791667,0.416821666667,0.0,3.911,0.3681875,51.0046986613
2013-03-20,0.446,-2.635,464.734,-11.312,32.701,192.972,0.5383,-2.35142857143,464.424285714,2.01528571429,28.3501428571,337.963,0.483504285714,-2.09483333333,1.07,-4.401,0.52873125,0.42324,107.551083333,-7.32079166667,11.385625,110.107791667,0.411124166667,0.0,3.245,0.366025,47.7622247623
2013-03-21,0.4362,-5.863,524.621,-12.986,37.635,263.475,0.53172,-3.23185714286,553.685,0.773571428571,27.1051428571,362.294714286,0.464208571429,-3.854,1.03,-7.648,0.540970833333,0.32745,145.412666667,-7.81345833333,7.94004166667,123.485166667,0.405374166667,0.0,2.623,0.3638625,54.9686960316
2013-03-22,0.406,0.687,534.152,-9.874,23.211,271.06,0.39844,3.32857142857,552.444714286,9.83057142857,30.5274285714,260.471428571,0.32333,1.53733333333,7.232,-3.106,0.384470833333,0.21921,145.668416667,-2.157875,10.218375,91.25325,0.4009075,0.0,3.198,0.3617,33.9013791308
2013-03-23,0.418,5.372,528.207,5.763,13.809,243.339,0.43222,7.273,519.558857143,21.4872857143,30.2392857143,256.042,0.360555714286,5.01054166667,9.904,1.262,0.4090025,0.30681,148.827458333,5.56683333333,9.81866666667,81.0600416667,0.396567916667,0.0,4.681,0.3610375,20.1690639963
2013-03-24,0.4834,1.824,159.486,-0.496,10.971,65.61,0.7399,1.73585714286,120.467,-1.04585714286,2.558,63.2981428571,0.781274285714,1.251625,3.279,-0.675,0.77067125,0.53771,34.0658333333,-5.350375,1.369375,19.5242083333,0.397418333333,0.0125,3.964,0.360375,16.0239554713
